,_id,l_MID,r_MID,Title_Title_jac_qgm_3_qgm_3,Title_Title_cos_dlm_dc0_dlm_dc0,Title_Title_jac_dlm_dc0_dlm_dc0,Title_Title_mel,Title_Title_lev_dist,Title_Title_lev_sim,Title_Title_nmw,Title_Title_sw,Running_Time_Running_Time_jac_qgm_3_qgm_3,Running_Time_Running_Time_cos_dlm_dc0_dlm_dc0,Running_Time_Running_Time_jac_dlm_dc0_dlm_dc0,Running_Time_Running_Time_mel,Running_Time_Running_Time_lev_dist,Running_Time_Running_Time_lev_sim,Running_Time_Running_Time_nmw,Running_Time_Running_Time_sw,Directors_Directors_jac_qgm_3_qgm_3,Directors_Directors_cos_dlm_dc0_dlm_dc0,Directors_Directors_jac_dlm_dc0_dlm_dc0,Directors_Directors_mel,Directors_Directors_lev_dist,Directors_Directors_lev_sim,Directors_Directors_nmw,Directors_Directors_sw,Release_Year_Release_Year_exm,Release_Year_Release_Year_anm,Release_Year_Release_Year_lev_dist,Release_Year_Release_Year_lev_sim,predicted,proba
1859,4820,2401,2948,0.46153846153846156,0.6666666666666667,0.5,0.8833333253860474,6.0,0.6666666666666667,10.0,10.0,0.45454545454545453,0.4999999999999999,0.3333333333333333,0.9000000357627869,1.0,0.8333333333333334,5.0,5.0,0.09523809523809523,0.0,0.0,0.6251851916313171,7.0,0.30000000000000004,2.0,3.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.0
1860,4822,2478,2950,0.41935483870967744,0.5773502691896258,0.4,0.8092948794364929,11.0,0.5416666666666667,5.0,9.0,0.38461538461538464,0.4999999999999999,0.3333333333333333,0.8285714387893677,2.0,0.7142857142857143,5.0,5.0,0.0,0.0,0.0,0.4734848439693451,12.0,0.25,-1.0,2.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,0,0.0
1861,4823,2614,2952,1.0,1.0,1.0,1.0,0.0,1.0,33.0,33.0,0.5,0.4999999999999999,0.3333333333333333,0.9238095283508301,1.0,0.8571428571428572,6.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,1.0,1.0,0.0,1.0,1,1.0
1862,4829,2550,2954,0.3684210526315789,0.4999999999999999,0.3333333333333333,0.8659090995788574,4.0,0.6363636363636364,7.0,7.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.8492063283920288,2.0,0.7142857142857143,4.0,4.0,0.04,0.0,0.0,0.49444442987442017,10.0,0.16666666666666663,0.0,2.0,0.0,0.9620569146280579,4.0,0.33333333333333337,0,0.0
1863,4830,2615,2955,0.3076923076923077,0.40824829046386296,0.25,0.844343900680542,9.0,0.47058823529411764,4.0,6.0,0.3333333333333333,0.4999999999999999,0.3333333333333333,0.8888888955116272,2.0,0.6666666666666667,4.0,4.0,0.25806451612903225,0.40824829046386296,0.25,0.8235763907432556,16.0,0.3846153846153846,-2.0,8.0,0.0,0.9696366351418616,4.0,0.33333333333333337,0,0.0
1864,4831,2617,2956,1.0,1.0,1.0,1.0,0.0,1.0,18.0,18.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,0.34965034965034963,0.9938795848227315,1.6041958041958042,0.7326340326340325,1,1.0
1865,4833,2581,2958,0.3684210526315789,0.4999999999999999,0.3333333333333333,0.8346764445304871,6.0,0.5384615384615384,3.0,4.0,0.38461538461538464,0.4999999999999999,0.3333333333333333,0.8285714387893677,2.0,0.7142857142857143,5.0,5.0,0.2692307692307692,0.40824829046386296,0.25,0.8263491988182068,8.0,0.4666666666666667,6.0,7.0,0.0,0.9924547283702213,2.0,0.6666666666666667,0,0.0
1866,4834,2593,2958,0.4444444444444444,0.4999999999999999,0.3333333333333333,0.8758547306060791,5.0,0.6153846153846154,4.0,4.0,0.5,0.4999999999999999,0.3333333333333333,0.9238095283508301,1.0,0.8571428571428572,6.0,6.0,0.06666666666666667,0.0,0.0,0.5634920597076416,12.0,0.1428571428571429,2.0,2.0,0.0,0.9969818913480886,1.0,0.8333333333333334,0,0.0
1867,4835,2594,2958,0.38095238095238093,0.4999999999999999,0.3333333333333333,0.8805128335952759,5.0,0.6153846153846154,7.0,7.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.8492063283920288,3.0,0.5714285714285714,3.0,4.0,0.05555555555555555,0.0,0.0,0.5206349492073059,15.0,0.25,-1.0,3.0,0.0,0.9861111111111112,4.0,0.33333333333333337,0,0.0
1868,4842,2414,2958,0.30434782608695654,0.40824829046386296,0.25,0.8547008633613586,6.0,0.5384615384615384,7.0,7.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.7460317611694336,3.0,0.5714285714285714,3.0,4.0,0.0,0.0,0.0,0.5244709253311157,20.0,0.16666666666666663,-7.0,3.0,0.0,0.9969909729187563,2.0,0.6666666666666667,0,0.0
1869,4843,2539,2958,0.3888888888888889,0.4999999999999999,0.3333333333333333,0.8541208505630493,6.0,0.5384615384615384,2.0,5.0,0.38461538461538464,0.4999999999999999,0.3333333333333333,0.8285714387893677,2.0,0.7142857142857143,5.0,5.0,0.03225806451612903,0.0,0.0,0.6303571462631226,10.0,0.2857142857142857,2.0,3.0,0.0,0.993006993006993,4.0,0.33333333333333337,0,0.0
1870,4851,2184,2963,0.3333333333333333,0.4999999999999999,0.3333333333333333,0.8063936233520508,6.0,0.5384615384615384,5.0,5.0,0.3076923076923077,0.4999999999999999,0.3333333333333333,0.8492063283920288,2.0,0.7142857142857143,4.0,4.0,0.0,0.0,0.0,0.5317460298538208,13.0,0.0714285714285714,-1.0,2.0,0.0,0.9995022399203584,1.0,0.8333333333333334,0,0.0
1871,4854,2108,2963,0.3684210526315789,0.4999999999999999,0.3333333333333333,0.8909090757369995,4.0,0.6363636363636364,7.0,7.0,0.38461538461538464,0.4999999999999999,0.3333333333333333,0.9142857193946838,2.0,0.7142857142857143,5.0,5.0,0.03333333333333333,0.0,0.0,0.46666666865348816,13.0,0.1333333333333333,-1.0,3.0,0.0,0.99800796812749,1.0,0.8333333333333334,0,0.0
