"Title","Certificate","Genre","Rating","Running Time","Directors","Writers","Stars Cast","Country","Language","Budget","Gross","Release Date","Production Company"
"There Will Be Blood","R","Drama","9","158 min.","Paul Thomas Anderson","NULL","Daniel Day-Lewis|Paul Dano|Kevin J. O'Connor|Ciarn Hinds","USA","NULL","NULL","NULL","Dec 26, 2007 (USA - Limited)","Joanne Sellar/Ghoulardi Film Company|Miramax|Paramount Vantage"
"All the King's Men","NULL","Drama","9","109 min.","Robert Rossen","NULL","Broderick Crawford|John Derek|Joanne Dru|John Ireland","USA","NULL","NULL","NULL","Nov 8, 1949 (USA)","Columbia Pictures"
"The Elephant Man","PG","Drama","9","125 min.","David Lynch","NULL","Anthony Hopkins|John Hurt|Anne Bancroft|John Gielgud","UK|USA","NULL","NULL","NULL","NULL","Brooks Films|Paramount"
"Mrs. Miniver","NR","Drama","9","134 min.","William Wyler","NULL","Greer Garson|Walter Pidgeon|Teresa Wright|Dame May Whitty","USA","NULL","NULL","NULL","Jun 4, 1942 (USA - Unknown)","MGM"
"A Passage to India","PG","Drama","9","163 min.","David Lean","NULL","Judy Davis|Victor Banerjee|Peggy Ashcroft|James Fox","UK","NULL","NULL","NULL","Dec 14, 1984 (USA)","Columbia Pictures|HBO"
"Leaving Las Vegas","R","Drama","9","112 min.","Mike Figgis","NULL","Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis","USA","NULL","NULL","NULL","NULL","MGM/United Artists"
"Far From Heaven","PG13","Drama","9","107 min.","Todd Haynes","NULL","Julianne Moore|Dennis Quaid|Dennis Haysbert|Patricia Clarkson","USA","NULL","NULL","NULL","Nov 8, 2002 (USA - Limited)","Clear Blue Sky Films|Focus Features|John Wells Productions|Killer Films|Section Eight|TF1 Films|Vulcan Productions"
"Capote","R","Drama","9","115 min.","Bennett Miller","NULL","Philip Seymour Hoffman|Catherine Keener|Clifton Collins Jr.|Chris Cooper","USA","NULL","NULL","NULL","Sep 30, 2005 (USA - Limited)","A-Line Pictures|Cooper's Town Productions|Infinity Media|United Artists"
"The Lives of Others","R","Drama","9","138 min.","Florian Henckel von Donnersmarck","NULL","Martina Gedeck|Sebastian Koch|Ulrich Tukur|Thomas Thieme","Germany","NULL","NULL","NULL","Feb 9, 2007 (USA - Limited)","ARTE|Bayerischer Rundfunk|Buena Vista International|Creado Film|Wiedemann & Berg Filmproduktion"
"The Diving Bell and the Butterfly","PG13","Drama","9","112 min.","Julian Schnabel","NULL","Mathieu Amalric|Emmanuelle Seigner|Marie-Jose Croze|Anne Consigny","France|USA","NULL","NULL","NULL","Dec 19, 2007 (USA - Limited)","France 3 Cinema|Pathe Renn Production"
"Revolutionary Road","R","Drama","9","119 min.","Sam Mendes","NULL","Leonardo DiCaprio|Kate Winslet|Kathy Bates|Michael Shannon","USA","NULL","NULL","NULL","Dec 26, 2008 (USA - Limited)","BBC Films|DreamWorks|Evamere Entertainment|Neal Street"
