Title,Certificate,Genre,Rating,Running Time,Directors,Writers,Stars Cast,Country,Language,Budget,Gross,Release Date,Production Company
The Three Godfathers,NULL,Drama|Western,8,106 min.,John Ford,NULL,"John Wayne|Harry Carey, Jr.|Ward Bond|Mae Marsh",USA,NULL,NULL,NULL,"Dec 1, 1948 (USA - Unknown)",Argosy Pictures
The Time to Live and the Time to Die,NULL,Drama,8,137 min.,Hou Hsiao-Hsien|Lin Tong-fei,NULL,Mei Fang|Lin Chung-wen,Taiwan,NULL,NULL,NULL,NULL,Central Motion Picture Corporation
The Tin Drum,R,Drama,9,163 min.,Volker SchlÃƒÂ¶ndorff,NULL,Mario Adorf|Angela Winkler|David Bennent|Daniel Olbrychski,France|Poland|West Germany|Yugoslavia,NULL,NULL,NULL,NULL,Argos Films|Artemis Productions|Bioskop|Film Polski|GGB 14|Hallelujah Films|Jadran Film
The Tin Star,NULL,Drama|Western,8,93 min.,Anthony Mann,NULL,Henry Fonda|Anthony Perkins|Betsy Palmer|Michael Ray,USA,NULL,NULL,NULL,"Oct 23, 1957 (USA - Unknown)",Paramount|William Perlberg Productions
The Torrent,NULL,Drama|Romance,8,68 min.,Monta Bell,NULL,Ricardo Cortez|Greta Garbo|Gertrude Olmstead|Edward Connelly,USA,NULL,NULL,NULL,"Feb 21, 1926 (USA - Unknown)",Cosmopolitan|MGM
The Towering Inferno,PG,Action,8,165 min.,Irwin Allen|John Guillermin,NULL,Steve McQueen|Paul Newman|William Holden|Faye Dunaway,USA,NULL,NULL,NULL,NULL,20th Century Fox|Warner Brothers
The Town,R,Crime,7,124 min.,Ben Affleck,NULL,Ben Affleck|Rebecca Hall|Jon Hamm|Jeremy Renner,USA,NULL,NULL,NULL,"Sep 17, 2010 (USA)",GK Films|Thunder Road Film
The Trail of '98,NULL,Drama,9,NULL,Clarence Brown,NULL,Dolores Del Rio|Ralph Forbes|Harry Carey|Karl Dane,USA,NULL,NULL,NULL,"Mar 20, 1928 (USA - Unknown)",MGM
The Trail of the Lonesome Pine,NULL,Action|Drama|Romance,8,102 min.,Henry Hathaway,NULL,Sylvia Sidney|Henry Fonda|Fred MacMurray|Fred Stone,USA,NULL,NULL,NULL,NULL,Paramount|Walter Wanger
The Train,NULL,War,8,133 min.,John Frankenheimer,NULL,Burt Lancaster|Paul Scofield|Jeanne Moreau|Michel Simon,France|Italy|USA,NULL,NULL,NULL,NULL,Dear Films|Films Ariane|United Artists
The Treasure of the Sierra Madre,NR,Action|Adventure|Drama,10,126 min.,John Huston,NULL,Humphrey Bogart|Walter Huston|Tim Holt|Barton MacLane,USA,NULL,NULL,NULL,"Jan 24, 1948 (USA)",Warner Brothers
