Title,Certificate,Genre,Rating,Running Time,Directors,Writers,Stars Cast,Country,Language,Budget,Gross,Release Date,Production Company
Avenged,NULL,Action|Fantasy|Horror,5.6,1h 35min,Michael S. Ojeda,Michael S. Ojeda|Deon van Rooyen,Amanda Adrienne Smith|Marc Anthony Samuel|Rodney Rowland,USA,English,NULL,NULL,6 March 2015 (USA),Cart Before The Horse Productions|Green Dog Films|Raven Banner Entertainment
Generator Rex,TV-PG,Animation|Action|Sci-Fi,7.6,NULL,NULL,NULL,Daryl Sabara|Grey DeLisle|John DiMaggio,USA,English,NULL,NULL,23 April 2010 (USA),Cartoon Network Studios|Cartoon Network
My Secret Identity,NULL,Action|Adventure|Comedy,7.4,25min,NULL,NULL,Derek McGrath|Jerry O'Connell|Wanda Cannon,Canada,English,NULL,NULL,9 October 1988 (USA),Sunrise Films|Scholastic Productions|Sunrise Films Limited
Tarzan and His Mate,UNRATED,Action|Adventure,7.6,1h 44min,Cedric Gibbons|James C. McKay,Edgar Rice Burroughs|James Kevin McGuinness,Johnny Weissmuller|Maureen O'Sullivan|Neil Hamilton,USA,English,"$1,279,142 ",NULL,20 April 1934 (USA),Metro-Goldwyn-Mayer (MGM)
New Kids Turbo,NULL,Action|Comedy,6.4,1h 24min,Steffen Haars|Flip Van der Kuil,Steffen Haars|Flip Van der Kuil,Huub Smit|Tim Haars|Wesley van Gaalen,Netherlands,Dutch,"‰âÂ1,500,000",NULL,9 December 2010 (Netherlands),Eyeworks Film & TV Drama|Comedy Central|Benelux Film Distributors
Terminal Velocity,PG-13,Action|Comedy|Mystery,5.4,1h 42min,Deran Sarafian,David Twohy,Charlie Sheen|Nastassja Kinski|James Gandolfini,USA|USA,English,"$50,000,000 ","$26,978,900 ",23 September 1994 (USA),Hollywood Pictures|Interscope Communications|PolyGram Filmed Entertainment
Dragon,R,Action|Crime|Drama,7.1,1h 38min,Peter Ho-Sun Chan,Oi Wah Lam|Joyce Chan,Donnie Yen|Takeshi Kaneshiro|Wei Tang,Hong Kong|Hong Kong,Mandarin,NULL,NULL,4 July 2011 (China),Dingsheng Cultural Industry Investment|JSBC Eudemonia Blue Ocean TV & Movie Group|Stellar Mega Films
Max Payne 3,NULL,Action|Crime|Drama,8.7,NULL,Rod Edge|Sergei Kuprejanov,Dan Houser|Michael Unsworth,James McCaffrey|Julian Rebolledo|Frank Rodriguez,Canada|Canada|Canada,English|Portuguese|Spanish,NULL,NULL,15 May 2012 (USA),Rockstar Vancouver|Rockstar London|Rockstar Toronto
Naam Hai Akira,UNRATED,Action|Crime|Drama,5.9,2h 17min,A.R. Murugadoss,Santha Kumar|A.R. Murugadoss,Sonakshi Sinha|Anurag Kashyap|Konkona Sen Sharma,India,Hindi,NULL,NULL,2 September 2016 (India),A. R. Murugadoss productions|Fox STAR Studios
Date a Live,TV-14,Animation|Action|Comedy,7.2,25min,NULL,NULL,Jamie Marchi|Nobunaga Shimazaki|Marina Inoue,Japan,Japanese,NULL,NULL,5 April 2013 (Japan),Anime International Company (AIC)|Kadokawa Shoten Publishing Co.
Surviving the Wild,PG-13,Action|Adventure|Family,7.5,NULL,Patrick Alessandrin,Mark Hefti,Jon Voight|Jamie Kennedy|Vail Bloom,USA,English,"$3,000,000 ",NULL,5 January 2018 (USA),Haunted Doll Company
Baccano!,TV-MA,Animation|Action|Adventure,8.3,25min,NULL,NULL,J. Michael Tatum|Caitlin Glass|Akemi Kanda,USA|USA,English|Japanese,NULL,NULL,26 July 2007 (Japan),Aniplex|Happinet|Mediaworks
Speed Racer,TV-Y7,Animation|Action|Adventure,7.2,30min,NULL,NULL,Katsuji Mori|Peter Fernandez|Corinne Orr,Japan,Japanese,NULL,NULL,23 September 1967 (USA),Tatsunoko Production|Yomiko Advertising
Blood Heist,NULL,Action,5.9,NULL,Jenna Cavelle,Jenna Cavelle|Amber Coney,James Franco|Carlito Olivero|Edy Ganem,USA,NULL,NULL,NULL,28 July 2017 (Canada),Rabbit Bandini Films|SSS Entertainment
Hwa-i: Goi-mool-eul sam-kin a-i,NOT RATED,Action|Thriller,7.1,2h 6min,Joon-hwan Jang,Joo-Suk Park|Joon-hwan Jang,Yun-seok Kim|Jin-woong Jo|Hyun-Sung Jang,South Korea,Korean,NULL,NULL,9 October 2013 (South Korea),Now Films|Pine House Film
Amber Alert: Terror on the Highway,NOT RATED,Action|Crime|Drama,3.5,1h 23min,George Mendeluk,Luis Cruz|Jack Nasser,Tom Berenger|Torri Higginson|Britt McKillip,USA|USA,English,"$2,000,000 ",NULL,25 January 2009 (USA),NGN Productions|NGN Desperate Hours Productions|Nasser Entertainment Group
Edison,R,Action|Crime|Drama,5.3,1h 39min,David J. Burke,David J. Burke,Morgan Freeman|Kevin Spacey|Justin Timberlake,USA|USA,English,"$25,150,000 ",NULL,11 November 2005 (Italy),Millennium Films|Emmett/Furla/Oasis Films (EFO Films)|VIP 3 Medienfonds
Sucker Punch,R,Action,5,1h 32min,Malcolm Martin,Malcolm Martin,Gordon Alexander|Antonio Fargas|Ian Freeman,UK,English,NULL,NULL,18 October 2011 (USA),3 Finger Productions
Fantastic Four,NULL,Action|Animation|Sci-Fi,6.5,22min,NULL,NULL,Beau Weaver|Lori Alan|Quinton Flynn,USA,English,NULL,NULL,24 September 1994 (USA),Genesis Entertainment|Marvel Enterprises|Marvel Productions
Prospect,NULL,Short|Action|Drama,7,14min,Chris Caldwell|Zeek Earl,Chris Caldwell,Thomas Castle|Tony Doupe|Callie Harlow,USA,English,NULL,NULL,26 March 2014 (USA),Shep Films
The Mod Squad,R,Action|Crime|Thriller,4.2,1h 32min,Scott Silver,Buddy Ruskin|Stephen Kay,Claire Danes|Omar Epps|Giovanni Ribisi,USA,English,"$50,000,000 ",NULL,26 March 1999 (USA),Metro-Goldwyn-Mayer (MGM)
Kill Me Again,R,Action|Crime|Drama,6.3,1h 34min,John Dahl,John Dahl|David W. Warfield,Val Kilmer|Joanne Whalley|Pat Mulligan,USA,English,"$4,000,000 ",NULL,27 October 1989 (USA),Incorporated Television Company (ITC)|Propaganda Films
1990: The Bronx Warriors,R,Action|Sci-Fi|Thriller,5.3,1h 29min,Enzo G. Castellari,Elisa Briganti|Enzo G. Castellari,Mark Gregory|Fred Williamson|Vic Morrow,Italy,Italian|English,NULL,NULL,22 April 1983 (USA),Deaf Internacional Film SrL.
Kekkai Sensen,TV-14,Animation|Action|Adventure,7.4,NULL,NULL,NULL,Daisuke Sakaguchi|Rie Kugimiya|Aaron Dismuke,Japan,Japanese,NULL,NULL,4 April 2015 (Japan),Bones|Toho
Bang Bang,NULL,Action|Adventure|Comedy,5.5,2h 33min,Siddharth Anand,Sujoy Ghosh|Suresh Nair,Hrithik Roshan|Katrina Kaif|Pavan Malhotra,India,Hindi|Telugu|Tamil,NULL,"$42,045,981 ",2 October 2014 (USA),Milk & Honey Pictures|Bollywood Hollywood Production|Fox STAR Studios
Biker Mice from Mars,TV-Y7,Animation|Action|Adventure,7.1,30min,NULL,NULL,Dorian Harewood|Rob Paulsen|Ian Ziering,Canada|Canada,English,NULL,NULL,18 September 1993 (USA),Brentwood Television Funnies|Marvel Productions|New World Family Filmworks
Dead Heat,R,Action|Comedy|Horror,6,1h 26min,Mark Goldblatt,Terry Black,Treat Williams|Joe Piscopo|Lindsay Frost,USA,English,"$5,000,000 ",NULL,29 June 1988 (France),Helpern / Meltzer
Hot Dog,NULL,Action|Comedy,2.1,1h 40min,Torsten KÌ_nstler,Tripper Clancy,Til Schweiger|Matthias SchweighÌ_fer|Anne SchÌ_fer,Germany,German,NULL,NULL,18 January 2018 (Germany),Barefoot Films|Erfttal Film|Pantaleon Entertainment
Eye of the Tiger,R,Action|Drama,5.7,1h 32min,Richard C. Sarafian,Michael Thomas Montgomery,Gary Busey|Yaphet Kotto|Seymour Cassel,USA,English,NULL,NULL,28 November 1986 (USA),Scotti Brothers Pictures (I)|International Video Entertainment (IVE)|Action Brothers
Metal Gear Solid 3: Snake Eater,NULL,Action|Adventure|Crime,9.6,NULL,Hideo Kojima,Hideo Kojima|Hideo Kojima,David Hayter|Suzetta MiÌ±et|Jim Piddock,Japan,Japanese,NULL,NULL,17 November 2004 (USA),Konami Computer Entertainment
K,TV-MA,Animation|Action|Drama,7.3,24min,NULL,NULL,Todd Haberkorn|Sam Riegel|Stephanie Sheh,Japan,Japanese,NULL,NULL,5 October 2012 (Japan),GoHands|King Records|Mainichi Broadcasting System (MBS)
Halo 2,NULL,Action|Adventure|Mystery,8.7,NULL,NULL,Joseph Staten,Dee Bradley Baker|Julie Benz|Hamilton Camp,USA,English,NULL,NULL,9 November 2004 (USA),Bungie Software|Ministry of Motion (MOM)
Breakaway,R,Action|Adventure|Thriller,4.2,1h 35min,Sean Dash,Sean Dash|Eric Gardner,Teri Fruichantie|Joe Estevez|Tonya Harding,USA,English,NULL,NULL,28 December 1996 (USA),Century Film Partners Inc.
The Big Bang,R,Action|Mystery|Thriller,5.5,1h 41min,Tony Krantz,Erik Jendresen,Antonio Banderas|Thomas Kretschmann|William Fichtner,USA,English,"$17,000,000 ",NULL,3 February 2011 (Bahrain),Big Bang Production|Flame Ventures|Hannibal Pictures
Cleaners,NULL,Action,6.5,30min,NULL,NULL,Emmanuelle Chriqui|Emily Osment|Missi Pyle,USA,English,NULL,NULL,3 October 2013 (USA),Sony Pictures Television|Full Clip Productions
Bing feng: Yong heng zhi men,NULL,Action|Comedy|History,NULL,NULL,Wai Man Yip,Fung Lam|Mark Wu,Donnie Yen|Baoqiang Wang|Shengyi Huang,China|China,Cantonese,"HKDåÊ200,000,000",NULL,2018 (China),Zhongmeng Century Media
The Heroes of Telemark,APPROVED,Action|Drama|History,6.5,2h 11min,Anthony Mann,Ivan Moffat|Ben Barzman,Kirk Douglas|Richard Harris|Ulla Jacobsson,UK,English|German|Norwegian,"$5,600,000 ",NULL,26 November 1965 (UK),Benton Film Productions
Bridezillas,NULL,Action|Reality-TV,4.1,45min,NULL,NULL,Mindy Burbano|Ryan Murray|Valerie Nieto,USA,English,"$1,000,000 ",NULL,10 June 2006 (USA),September Films
Sword Art Online Abridged,NULL,Animation|Action|Comedy,7.5,NULL,NULL,NULL,Matthew J. Kok|Carrie DiMascio|Cole Petty,Canada,English,NULL,NULL,29 March 2013 (Canada),Something Witty Entertainment
Revenge of the Green Dragons,R,Action|Crime|Drama,5.3,1h 34min,Wai-Keung Lau|Andrew Loo,Fredric Dannen|Michael Di Jiacomo,Justin Chon|Kevin Wu|Harry Shum Jr.,Hong Kong|Hong Kong,English|Chinese,"$5,000,000 ",NULL,11 September 2014 (USA),"IM Global|7th Floor, The|Initial A Entertainment"
A Breed Apart,R,Drama|Action,5.5,1h 35min,Philippe Mora,Paul Wheeler,Rutger Hauer|Powers Boothe|Kathleen Turner,USA,English,"$3,000,000 ",NULL,June 1984 (USA),Hemdale|Sagittarius Productions
Star Wars: The Force Unleashed,NULL,Action|Adventure|Drama,8.1,NULL,Haden Blackman|Steve Stamatiadis,George Lucas|George Lucas,Sam Witwer|Nathalie Cox|Cully Fredricksen,USA|USA,English,NULL,NULL,16 September 2008 (USA),n-Space|Krome Studios|LucasArts Entertainment Company
Super Fuzz,PG,Action|Comedy|Fantasy,6.4,1h 37min,Sergio Corbucci,Sergio Corbucci|Sabatino Ciuffini,Terence Hill|Ernest Borgnine|Joanne Dru,Italy|Italy|Italy,English,NULL,NULL,2 October 1981 (USA),El Pico S.A.|TVI|Transcinema
Beyond the Poseidon Adventure,PG,Action|Adventure,4.5,1h 54min,Irwin Allen,Paul Gallico|Nelson Gidding,Michael Caine|Sally Field|Telly Savalas,USA,English,"$10,000,000 ",NULL,18 May 1979 (USA),Warner Bros.
Hellhole Women,UNRATED,Action|Adventure|Crime,4.8,1h 7min,JesÌ_s Franco,JesÌ_s Franco|GÌ_nter Ebert,Ajita Wilson|Andrea Guzon|Ursula Buchfellner,Spain|Spain,Spanish,NULL,NULL,3 June 1981 (Spain),Plata Films S.A.|Lisa-Film|Gold Internacional Films
Salting the Battlefield,TV-PG,Action|Crime|Drama,6.6,1h 33min,David Hare,David Hare,Ralph Fiennes|Shazad Latif|Felicity Jones,UK,English|German,NULL,NULL,16 November 2014 (USA),Carnival Film & Television|Heyday Films|Beagle Pug Films
Broken Horses,R,Action|Crime|Drama,5.7,1h 41min,Vidhu Vinod Chopra,Vidhu Vinod Chopra|Abhijat Joshi,Henry Shotwell|Thomas Jane|Nicholas Neve,USA,English,"$15,000,000 ",NULL,10 April 2015 (USA),Reliance Entertainment|Vinod Chopra Productions
Yona of the Dawn,TV-14,Animation|Action|Adventure,8.2,NULL,NULL,NULL,Monica Rial|Christopher Sabat|Chiwa SaitÌ«,Japan|Japan,Japanese,NULL,NULL,7 October 2014 (Japan),AT-X|Docomo Anime Store|FUNimation Entertainment
Batman & Mr. Freeze: SubZero,UNRATED,Animation|Action|Crime,7.3,1h 10min,Boyd Kirkland,Bob Kane|Randy Rogel,Kevin Conroy|Michael Ansara|Loren Lester,USA,English,NULL,NULL,17 March 1998 (USA),Warner Bros. Animation|Warner Bros.
Johnny Sokko and His Flying Robot,NULL,Action|Adventure|Sci-Fi,8,30min,NULL,NULL,Mitsunobu Kaneko|Toshiyuki Tsuchiyama|KÌ«ichi Chiba,Japan,English|Japanese,NULL,NULL,11 October 1967 (Japan),TV Tokyo
The Troop,NULL,Action|Adventure|Comedy,6.2,30min,NULL,NULL,Nicholas Purcell|Gage Golightly|John Marshall Jones,USA|USA,English,NULL,NULL,12 September 2009 (USA),Nickelodeon Network|Nicktroop Productions|Tom Lynch Company
The Night of the Following Day,R,Action|Crime|Drama,6.2,1h 33min,Hubert Cornfield|Richard Boone,Hubert Cornfield|Robert Phippeny,Marlon Brando|Richard Boone|Rita Moreno,UK|UK,English|French,"$1,500,000 ",NULL,14 March 1969 (Finland),Gina Production
Masada,NULL,Action|Drama|History,7.9,6h 34min,NULL,NULL,Peter O'Toole|Peter Strauss|Barbara Carrera,USA,English,NULL,NULL,5 April 1981 (USA),Arnon Milchan Productions|Universal Television
Wine Wars,NULL,Action|Crime|Thriller,4.6,1h 30min,Leon Lai,Succeed Be,Juan Du|Lily Ji|Leon Lai,China,Mandarin,"CNYåÊ60,000,000",NULL,19 May 2017 (China),Paciwood Music and Entertainment Corporation
OSS 117: Lost in Rio,NOT RATED,Action|Adventure|Comedy,6.9,1h 41min,Michel Hazanavicius,Jean Bruce|Jean-FranÌ_ois Halin,Jean Dujardin|Louise Monot|RÌ_diger Vogler,France,French|English|Hebrew|Portuguese,NULL,NULL,15 April 2009 (France),Mandarin Films|Gaumont|M6 Films
